City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Humberto De Campos,BR,-2.5983,-43.4611,82.76,65,23,8.57,few clouds
292,Garzon,CO,2.1959,-75.6278,77.2,77,59,4.61,broken clouds
293,Marfino,RU,55.7028,37.3822,69.87,94,20,0.0,few clouds
294,Dakar,SN,14.6937,-17.4441,84.33,74,40,11.5,scattered clouds
295,Carutapera,BR,-1.195,-46.02,80.96,82,7,5.19,clear sky
296,Honiara,SB,-9.4333,159.95,76.24,88,80,3.8,broken clouds
297,Quatre Cocos,MU,-20.2078,57.7625,69.1,86,93,19.64,light rain
298,Bellevue,US,47.6104,-122.2007,72.05,63,40,1.99,scattered clouds
299,Henties Bay,NA,-22.116,14.2845,56.86,92,33,7.74,scattered clouds
300,Plettenberg Bay,ZA,-34.0527,23.3716,56.61,75,100,4.59,overcast clouds
301,Vigrestad,NO,58.5667,5.7,60.96,85,70,15.03,light rain
302,Nome,US,64.5011,-165.4064,55.47,72,90,21.85,overcast clouds
303,Bossier City,US,32.516,-93.7321,95.2,53,40,11.5,scattered clouds
304,Blytheville,US,35.9273,-89.919,91.06,55,20,14.97,few clouds
305,Polessk,RU,54.862,21.1028,64.45,86,0,5.68,clear sky
306,Raudeberg,NO,61.9875,5.1352,64.18,78,11,2.98,few clouds
307,Balkanabat,TM,39.5108,54.3671,98.89,11,0,12.73,clear sky
308,Brae,GB,60.3964,-1.353,57.11,92,100,6.98,overcast clouds
309,Conde,BR,-7.2597,-34.9075,80.06,65,75,14.97,broken clouds
310,Lebu,CL,-37.6167,-73.65,49.51,67,9,8.34,clear sky
311,Tual,ID,-5.6667,132.75,80.19,79,100,17.74,overcast clouds
312,Mahibadhoo,MV,3.7833,72.9667,83.57,72,100,11.74,light rain
313,Huarmey,PE,-10.0681,-78.1522,68.07,71,2,13.96,clear sky
314,General Roca,AR,-39.0333,-67.5833,54.0,23,95,9.28,overcast clouds
315,Chota,PE,-6.55,-78.65,75.9,45,21,8.19,few clouds
316,Cap Malheureux,MU,-19.9842,57.6142,69.48,90,84,1.99,light rain
317,Irece,BR,-11.3042,-41.8558,77.25,39,4,17.6,clear sky
318,Saint Anthony,US,45.0205,-93.218,79.02,80,75,10.36,broken clouds
